Crop,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Soil_Moisture,Soil_CEC,Avg_Temperature,Min_Temperature,Avg_Humidity,Min_Humidity,Avg_Wind_Speed,Total_Rainfall,Min_Elevation,Max_Elevation,
Acai Berry,6.1,290,240,260,370,270,30.5,20.5,78,48,10.8,980,0,200,
Adzuki Bean,6.1,255,205,225,335,235,25,15,74,44,10.5,860,0,800,
Almond,6.5,260,210,230,360,220,27.5,17.5,65,35,11,800,300,1200,
Amaranth,6.4,255,205,225,335,235,26.5,16.5,85,55,11,910,0,3000,
Anise,6.3,150,120,180,380,170,24,18,72,52,2.9,850,0,1500,
Apple,6,230,180,200,300,220,15,5,65,35,12.5,900,300,2500,
Apricot,6.4,270,220,240,350,250,26.5,16.5,77,47,12,940,300,1500,
Areca Nut,6,250,200,250,400,250,27,22,80,65,3,2000,0,1200,
Artichoke,6,150,180,200,300,120,22,16,60,40,2,600,0,1000,
Arugula,6.5,150,130,170,440,190,27,21,80,60,3.2,1500,0,1500,
Ash Gourd,6.2,110,90,140,330,160,28,23,72,52,2.8,1100,0,500,
Asparagus,6.5,120,150,180,280,100,22,16,60,40,2,600,0,2000,
Avocado,6.2,280,230,250,390,250,25.5,15.5,70,40,10.5,900,0,2000,
Bael,6.1,120,100,140,280,150,31,26,55,35,3.5,600,0,1200,
Bambara Groundnut,6.4,270,220,240,350,250,28,18,69,41,12.8,920,0,1500,
Bamboo,6.3,90,70,110,320,140,26,21,72,52,2.5,1300,0,2500,
Banana,6.5,320,280,270,550,290,29.5,19.5,82,52,6.5,2800,0,1500,
Barley,6.3,255,195,215,340,235,24,14,68,38,11.2,1000,0,3500,
Barnyard Millet,6,85,65,105,255,105,27.5,21.5,73,53,2.9,720,0,1200,
Basil,6.5,260,210,230,340,240,25,15,72,42,10.8,860,0,1000,
Beetroot,6.5,100,120,150,300,120,18,12,55,35,1.5,500,0,2000,
Bell Pepper,6,150,180,200,320,150,24,18,70,50,3,1000,0,2000,
Betel Vine,6.5,220,170,220,400,230,27,22,80,65,3.5,2000,0,1000,
Bitter Gourd,6.1,260,210,230,340,240,26,16,85,53,10,930,0,500,
Black Cumin,6.5,130,110,160,280,140,22,16,60,40,2,600,0,1000,
Black Gram (Vigna mungo),6.3,100,80,120,300,140,27,21,70,50,3,1000,0,1200,
Black Pepper,6,250,200,250,400,250,27,22,80,65,3.5,2000,0,800,
Blackberry,6,260,210,230,370,250,19.5,9.5,82,52,9,1100,0,1500,
Blueberry,5.5,240,195,215,360,240,17.5,7.5,88,58,7.8,1300,0,1500,
Bottle Gourd,6.2,255,205,225,335,235,25.5,15.5,83,51,10.2,910,0,500,
Brazil Nut,6.4,310,260,280,400,290,29,19,79,49,13,1200,0,500,
Breadfruit,6.5,200,150,200,400,230,27,22,80,60,3.5,2000,0,700,
Broccoli,6.5,180,200,220,320,150,15,10,60,40,2,600,0,2000,
Buckwheat,6,240,190,215,320,220,21,11,75,48,10,900,0,3000,
Cabbage,6.5,180,200,220,320,150,15,10,60,40,2,600,0,2000,
Cacao,6,220,170,250,400,240,27,21,85,70,3.5,2000,0,800,
Canola,6.5,120,80,100,280,100,18,12,55,35,1.5,500,0,1000,
Carambola (Starfruit),6.3,130,100,140,320,160,27,21,75,55,2.5,1700,0,500,
Cardamom,6,270,220,240,370,230,25,15,76,46,10.2,1200,700,1500,
Carrot,6.3,240,190,220,350,240,18,8,80,50,8.5,1400,0,3000,
Cashew,6,270,220,240,370,230,28,18,75,45,9.5,1200,0,500,
Cassava,6.4,300,250,260,450,270,31,21,72,42,9.5,1400,0,1500,
Castor,6.5,100,50,80,250,80,27,22,60,40,2.8,700,0,1000,
Cauliflower,6,150,180,200,300,120,15,10,60,40,2,600,0,2500,
Celery,6.1,245,195,215,325,225,23.5,13.5,78,48,9.8,890,0,1000,
Chamomile,6.5,70,50,100,280,110,20,14,60,40,1.8,600,0,1000,
Cherry,6.5,285,235,255,365,265,25.5,15.5,76,46,11.5,930,300,2000,
Chestnut,6.5,280,230,250,360,260,26,16,77,47,10.5,930,200,1500,
Chia,6.3,250,200,220,330,230,24.5,14.5,80,50,10.5,870,0,2000,
Chickpea,6.3,230,190,210,340,230,26,16,72,42,11.5,900,0,1800,
Chili Pepper,6.5,180,200,220,350,200,27,22,70,50,3,1200,0,2500,
Chive,6.2,100,70,90,270,90,18,12,60,40,1.7,650,0,1000,
Cinnamon,6.2,250,200,220,350,210,23.5,13.5,82,52,9.2,1400,0,1000,
Clove,6.3,260,210,230,360,220,24.5,14.5,80,50,9.5,1300,0,900,
Coconut,6.3,320,270,290,500,290,29.5,19.5,78,48,9.5,2000,0,600,
Coffee,6,275,230,215,420,265,23.5,13.5,85,55,7.2,1800,600,2000,
Common Bean,6.5,100,120,150,300,120,24,18,65,45,2.5,800,0,2000,
Coriander,6,240,190,215,320,220,22.5,12.5,77,46,9.5,880,0,1000,
Corn (Maize),6.5,200,150,180,350,180,27,22,70,50,3,1000,0,3000,
Cotton,7,260,190,240,320,230,32,22,60,30,15,800,0,1500,
Cowpea,6.3,260,210,230,340,240,24.5,14.5,78,48,10.3,870,0,1000,
Cranberry,6,245,195,215,325,225,21.5,11.5,78,48,9.8,880,0,1000,
Cucumber,6,120,150,180,320,150,24,18,70,50,3,1000,0,1000,
Cumin,7,100,80,130,300,130,25,20,65,45,3,500,0,1200,
Curry Leaf,6,180,150,200,380,210,28,23,75,55,3,1200,0,1000,
Custard Apple,6.4,130,110,160,300,160,30,25,60,40,3.2,700,0,1000,
Date Palm,6.3,250,200,270,350,220,30,22,60,40,3,200,0,500,
Dill,6,130,100,160,350,150,22,16,68,48,2.5,750,0,1000,
Dragonfruit,6.4,300,250,270,450,270,27.5,17.5,72,42,9.8,1500,0,800,
Drumstick (Moringa),6.3,160,140,190,350,190,29,24,70,50,3.2,1000,0,500,
Durian,6.5,310,260,280,480,280,28,18,75,45,10,1700,0,600,
Eggplant,6.5,265,215,235,345,245,27.5,17.5,81,50,10.5,950,0,1500,
Fava Bean,6,120,150,180,320,150,24,18,70,50,3,1000,0,2400,
Fennel,6.2,140,110,170,360,160,23,17,70,50,2.7,800,0,2000,
Fenugreek,6.3,250,200,220,330,230,24.5,14.5,79,50,10,900,0,1800,
Fig,6,120,100,150,300,120,25,18,60,40,2,500,0,1700,
Finger Millet,6.3,260,215,230,340,240,27,17,72,43,12.5,900,0,2500,
Flax,6.1,255,190,215,325,225,23,13,74,44,10.8,890,0,1000,
Foxtail Millet,6.5,255,210,225,330,235,26,16,68,40,12,800,0,2000,
Galangal,6.2,180,150,200,420,230,28,23,84,64,3.8,2700,0,1000,
Garlic,6,120,150,180,300,120,22,16,60,40,2,600,0,2000,
Ginger,6,280,230,280,420,260,27,22,80,60,3,2000,0,1500,
Gooseberry,6.2,275,225,245,355,255,27,17,79,49,10.5,940,0,1800,
Grape,6.5,100,80,120,300,120,22,16,65,45,2.5,800,0,1500,
Groundnut (Peanut),6.8,245,185,210,310,225,29,19,72,42,13,900,0,1000,
Guava,6.3,300,250,260,420,260,28.5,18.5,73,43,10.5,1300,0,1500,
Hazelnut,6.1,260,210,230,360,220,25,15,72,42,10.8,950,0,1600,
Hemp,6.1,270,220,240,350,250,25.5,15.5,74,44,10.8,920,0,2000,
Horse Gram,6.5,100,120,150,300,120,27,22,70,50,3,1200,0,2000,
Hyacinth Bean,6.5,275,225,245,355,255,28.5,18.5,70,42,13,940,0,1200,
Jackfruit,6,290,240,260,380,260,30,20,80,48,10,990,0,1200,
Jute,6,280,230,240,400,250,30,20,78,48,12,1500,0,1000,
Kenaf,6.2,260,210,230,340,240,26.5,16.5,80,50,11.8,920,0,1500,
Kidney Bean,6,120,150,180,320,150,24,18,70,50,3,1000,0,2000,
Kodo Millet,6.5,80,60,100,250,100,28,22,70,50,3,800,0,1800,
Kohlrabi,6.4,130,90,110,290,110,17,11,61,41,1.7,680,0,1500,
Lavender,6,250,200,220,330,230,23,13,68,38,10.2,840,0,1500,
Leek,6.1,110,80,100,280,100,19,13,62,42,1.8,670,0,1500,
Lemon Grass,6.3,170,140,200,410,230,27,22,82,62,3.5,2500,0,1000,
Lentil,6.2,240,195,215,330,235,24.5,14.5,75,45,10,850,0,2000,
Lettuce,6.5,120,150,180,280,100,15,10,60,40,2,500,0,2500,
Lima Bean,6,265,215,235,345,245,26,16,72,43,11.8,890,0,700,
Longan,6.2,285,235,255,375,255,28,18,81,50,10,1020,0,600,
Loquat,6,275,225,245,365,245,27.5,17.5,79,49,9.8,970,0,1000,
Lotus,6.3,110,80,130,450,200,27,21,75,55,2.5,1500,0,500,
Luffa Gourd,6.5,130,110,160,420,230,27,22,82,62,3,1500,0,500,
Lychee,6,290,240,260,400,250,27.5,17.5,74,44,10.8,1000,0,700,
Macadamia Nut,6.3,315,265,285,410,295,30,20,80,50,12.8,1150,0,700,
Maize (Corn - use this one),6.5,280,220,230,400,250,28,18,75,45,12,1500,0,3000,
Malabar Spinach,6,130,110,160,420,230,26.5,21.5,79,59,3.3,1300,0,1000,
Mango,6.8,260,210,230,360,245,30,20,75,45,10.8,1300,0,600,
Mangosteen,6.3,295,245,265,390,270,29.5,19.5,85,53,9.5,1080,0,700,
Marjoram,6,110,90,120,330,130,28,22,80,60,2.8,1100,0,1500,
Millet,6.4,235,175,205,330,220,30.5,20.5,62,32,14.5,700,0,2000,
Mint,6,80,60,100,280,100,22,16,65,45,2,700,0,2000,
Moringa,6.2,160,130,180,400,190,28,23,75,55,3,1100,0,1000,
Moth Bean,6,100,120,150,300,120,27,22,70,50,3,1200,0,1000,
Mulberry,6.5,265,215,235,345,245,24,14,70,40,10.8,910,0,1500,
Mung Bean,6,250,200,220,330,230,26.5,16.5,75,45,11,870,0,1200,
Mushroom,5.8,230,180,200,330,200,20,10,85,55,9,1400,0,4500,
Muskmelon,6.2,270,220,240,350,250,28.5,18.5,72,42,10.8,940,0,1000,
Mustard,6.4,260,210,225,320,230,28,18,70,40,12,950,0,1000,
Nutmeg,6.1,270,220,240,370,230,25,15,75,45,10,1200,0,1300,
Oats,6.3,250,190,215,340,235,20,10,85,55,9,1100,0,3000,
Oil Palm,5.5,280,220,280,420,260,28,22,80,60,4.5,2500,0,500,
Okra,6.4,275,225,245,355,255,28.5,18.5,79,49,11.2,960,0,300,
Olive,6.7,275,225,245,355,255,27.5,17.5,68,38,12.5,980,0,1000,
Onion,6.5,150,180,200,320,150,22,16,60,40,2,600,0,2000,
Orange,6.4,250,200,225,340,235,22.5,12.5,70,40,11,1100,0,1000,
Oregano,6.5,70,50,90,250,90,24,17,68,48,2.3,750,0,1500,
Papaya,6.2,320,270,280,490,290,30.5,20.5,75,45,9,1800,0,1000,
Passion Fruit,6,300,250,270,380,280,29.5,19.5,84,54,12,990,0,1000,
Pea,6,250,200,220,350,240,22.5,12.5,80,50,9.5,1000,0,2000,
Peach,6.2,275,225,245,355,255,26,16,72,42,11,910,0,1000,
Peanut (use Groundnut),6.2,265,215,235,345,245,27,17,82,52,11.2,890,0,1000,
Pear,6.1,260,210,230,340,240,24.5,14.5,78,48,10.5,900,300,2000,
Pearl Millet,6.4,100,80,120,280,120,30,24,75,55,3.2,850,0,2700,
Pecan,6.6,290,240,260,370,270,26,16,74,44,10.8,980,0,500,
Persimmon,6.4,260,210,230,340,240,26,16,77,46,10.5,950,0,500,
Pigeon Pea,6.2,265,215,235,345,245,27,17,67,39,12,910,0,1500,
Pineapple,5.8,310,260,270,470,280,29,19,80,50,8.8,1600,0,1300,
Pistachio,6.2,280,230,250,380,240,26.5,16.5,68,38,11.2,1100,450,1800,
Plantain,6.3,310,260,280,420,290,30,20,82,50,10.5,1050,0,2000,
Plum,6.3,280,230,250,360,260,27,17,70,40,10.8,920,200,2000,
Pomegranate,6.4,280,230,250,380,240,26,16,68,38,11.2,900,0,2000,
Pomelo,6.5,120,80,120,300,150,27,20,65,45,2.5,1000,0,200,
Potato,5.7,310,260,250,470,275,20.5,10.5,88,58,9,1600,0,4000,
Proso Millet,6.4,250,205,220,325,230,25,15,70,42,11.5,850,0,2500,
Pumpkin,6.3,265,215,235,345,245,27,17,74,44,11,930,0,2000,
Quinoa,6,260,200,220,300,210,25,15,68,38,11.2,820,2000,4000,
Radish,6,50,80,100,250,80,15,10,50,30,1,400,0,1000,
Rambutan,6.1,310,260,280,420,290,31,21,82,50,9.8,1050,0,500,
Rapeseed (use Canola),6.2,265,215,235,345,245,25.5,15.5,73,43,10.8,920,0,1000,
Raspberry,5.9,255,205,225,365,245,20,10,83,53,8.8,1150,0,1500,
Rice,5.8,300,250,200,500,260,30,20,85,55,8.5,2500,0,2000,
Rice Bean,6,120,150,180,320,150,24,18,70,50,3,1000,0,2000,
Ridge Gourd,6.4,130,110,160,380,200,29,24,74,54,3,1150,0,500,
Roselle,6.3,280,230,250,360,260,29,19,70,40,11,950,0,1000,
Rosemary,6.1,255,205,225,335,235,24.5,14.5,70,40,11,850,0,1500,
Rubber,5.5,200,150,180,380,210,28,22,80,60,4,2500,0,600,
Rye,6.1,245,185,210,330,220,22,12,80,50,10,900,0,2500,
Safflower,6.7,275,225,235,310,220,28.5,18.5,63,33,12.5,780,0,1500,
Saffron,7,80,60,100,200,100,20,5,40,20,2,300,0,2000,
Sage,6.2,75,55,95,260,95,23,16,67,47,2.1,720,0,1500,
Sesame,6.5,270,220,230,320,230,27,17,66,36,13.2,810,0,1000,
Shallot,6.5,120,90,110,290,110,20,14,64,44,2,690,0,1000,
Sisal,6,270,220,240,350,250,28,18,65,35,12.2,930,0,1500,
Snake Gourd,6.1,100,80,120,300,120,26,20,70,50,2.7,1000,0,500,
Sorghum,6.5,245,185,210,330,220,30,20,62,32,14,750,0,2400,
Soursop,6,180,120,180,380,200,27,22,75,55,3,1500,0,1000,
Soybean,6.2,270,210,225,360,245,27.5,17.5,65,35,9.8,1100,0,1500,
Spelt,6.2,250,200,220,330,230,23.5,13.5,76,47,10.8,870,0,1500,
Spinach,6,150,180,200,300,120,18,12,65,45,2.5,700,0,2500,
Stevia,6.1,250,200,220,330,230,24,14,79,50,10,900,0,1000,
Strawberry,5.7,250,200,220,350,240,18.5,8.5,85,55,8.5,1200,0,1500,
Sugar Beet,6.5,270,220,240,350,250,25.5,15.5,72,44,10.8,920,0,1800,
Sugarcane,6,320,270,260,600,280,31.5,21.5,80,50,7.5,3000,0,1500,
Sunflower,6.8,270,220,230,310,225,29.5,19.5,65,35,13.5,800,0,1000,
Sunn Hemp,6,180,120,150,350,180,24,18,70,50,3,1000,0,1200,
Sweet Potato,6,80,60,100,300,120,24,18,65,45,2.5,1000,0,2000,
Sweet Sorghum,6.2,265,215,235,345,245,26.5,16.5,71,42,11.2,910,0,2400,
Tamarind,6.1,290,240,260,370,270,28,18,77,47,11.5,960,0,500,
Taro,6,150,100,180,400,180,27,22,80,60,3.5,2000,0,2000,
Tea,5.5,280,240,220,450,270,22,12,90,60,6.8,2200,600,2000,
Teff,6.1,245,195,215,315,225,24,14,74,46,10.2,890,1800,2800,
Thyme,6.4,250,200,220,330,230,24,14,74,44,10.5,870,0,1500,
Tomato,6.2,290,210,230,380,255,26.5,16.5,78,48,10,1300,0,2000,
Triticale,6.3,255,205,225,335,235,25.5,15.5,73,44,11,880,0,2500,
Turmeric,6.5,250,200,250,400,250,27,22,80,65,3,1800,0,1300,
Turnip,6.1,95,65,95,265,95,16,10,59,39,1.6,660,0,2000,
Vanilla,6.1,280,230,250,380,240,26,16,74,44,11,1000,0,1500,
Velvet Bean,6.3,120,100,150,400,220,29,24,80,60,2.9,1400,0,1200,
Walnut,6.3,250,200,220,350,210,24,14,70,40,10.5,900,700,2000,
Watermelon,6,280,230,250,360,260,29,19,70,40,11,950,0,500,
Wax Gourd,6,140,120,170,450,250,28,23,75,55,3.5,1800,0,500,
Wheat,6,250,200,220,350,240,25.5,15,70,40,10.5,1200,0,3500,
Winged Bean,6,100,80,120,350,180,27,22,70,50,2.8,1200,0,1500,
Yam,6.5,120,80,150,350,150,27,22,70,50,3,1500,0,1500,
Yam Bean,6.2,100,70,90,270,90,18,12,60,40,1.7,650,0,1500,
Zucchini,6.1,250,200,220,330,230,26.5,16.5,76,47,10.5,900,0,200,
